Questions,Code,Decode,usage
Nationality,SV,Salvadoran,Demographic
Subscribe to - Big 5 (Onsite Form) ,BF301,The Big 5 Hub industry weekly newsletter,Not Used
Subscribe to - Big 5 (Onsite Form) ,BF302,The Big 5 Hub quarterly magazine,Not Used
Nationality,SM,Sammarinese,Demographic
Nationality,WS,Samoan,Demographic
Nationality,ST,Sao Tomean,Demographic
Nationality,SA,Saudi Arabian,Demographic
Nationality,SN,Senegalese,Demographic
Nationality,RS,Serbian,Demographic
Nationality,SC,Seychellois,Demographic
Nationality,SL,Sierra Leonean,Demographic
Nationality,SG,Singaporean,Demographic
Nationality,SK,Slovakian,Demographic
Nationality,SI,Slovenian,Demographic
Nationality,SB,Solomon Islander,Demographic
Nationality,SO,Somali,Demographic
Nationality,ZA,South African,Demographic
Nationality,KR,South Korean,Demographic
Nationality,SS,South Sudanese,Demographic
Nationality,ES,Spanish,Demographic
Nationality,LK,Sri Lankan,Demographic
Nationality,SD,Sudanese,Demographic
Nationality,SR,Surinamese,Demographic
Nationality,SJ,Svalbard & Jan Mayen Islanders,Demographic
Nationality,SZ,Swazi,Demographic
Nationality,SE,Swedish,Demographic
Nationality,CH,Swiss,Demographic
Nationality,SY,Syrian,Demographic
Nationality,TW,Taiwanese,Demographic
Nationality,TJ,Tajikistani,Demographic
Nationality,TZ,Tanzanian,Demographic
Nationality,TH,Thai,Demographic
Nationality,TL,Timorese,Demographic
Nationality,TG,Togolese,Demographic
Nationality,TK,Tokelauan,Demographic
Nationality,TO,Tongan,Demographic
Nationality,TT,Trinidadian / Tobagonian,Demographic
Nationality,TN,Tunisian,Demographic
Nationality,TR,Turkish,Demographic
Nationality,TM,Turkmen,Demographic
Nationality,TC,Turks and Caicos Islander,Demographic
Nationality,TV,Tuvaluan,Demographic
Nationality,VI,U.S. Virgin Islander,Demographic
Nationality,UG,Ugandan,Demographic
Nationality,UA,Ukrainian,Demographic
Nationality,UY,Uruguayan,Demographic
Nationality,UZ,Uzbekistani,Demographic
Nationality,VE,Venezuelan,Demographic
Nationality,VN,Vietnamese,Demographic
Nationality,VC,Vincentian,Demographic
Nationality,VB,Virgin Islander,Demographic
Nationality,WF,Wallisian / Futunan,Demographic
Nationality,YE,Yemeni,Demographic
Nationality,ZM,Zambian,Demographic
Nationality,ZW,Zimbabwean,Demographic
Nationality,NAT,Nationality,Demographic
No of Employees - (0-10) - Big5,BF111A,Local,Demographic
No of Employees - (0-10) - Big5,BF111B,Regional,Demographic
No of Employees - (0-10) - Big5,BF111C,International,Demographic
No of Employees - (0-10) - MEC,MP111A,Local,Demographic
No of Employees - (0-10) - MEC,MP111B,Regional,Demographic
No of Employees - (0-10) - MEC,MP111C,International,Demographic
No of Employees - (11-50) - Big5,BF112A,Local,Demographic
No of Employees - (11-50) - Big5,BF112B,Regional,Demographic
No of Employees - (11-50) - Big5,BF112C,International,Demographic
No of Employees - (11-50) - MEC,MP112A,Local,Demographic
No of Employees - (11-50) - MEC,MP112B,Regional,Demographic
No of Employees - (11-50) - MEC,MP112C,International,Demographic
No of Employees - (251+) - Big5,BF114A,Local,Demographic
No of Employees - (251+) - Big5,BF114B,Regional,Demographic
No of Employees - (251+) - Big5,BF114C,International,Demographic
No of Employees - (251+) - MEC,MP114A,Local,Demographic
No of Employees - (251+) - MEC,MP114B,Regional,Demographic
No of Employees - (251+) - MEC,MP114C,International,Demographic
No of Employees - (51-250) - Big5,BF113A,Local,Demographic
No of Employees - (51-250) - Big5,BF113B,Regional,Demographic
No of Employees - (51-250) - Big5,BF113C,International,Demographic
No of Employees - (51-250) - MEC,MP113A,Local,Demographic
No of Employees - (51-250) - MEC,MP113B,Regional,Demographic
No of Employees - (51-250) - MEC,MP113C,International,Demographic
No of Employees - Big5,BF111,0-10,Demographic
No of Employees - Big5,BF112,Nov-50,Demographic
No of Employees - Big5,BF113,51-250,Demographic
No of Employees - Big5,BF114,251+,Demographic
No of Employees - MEC,MP111,0 – 10,Demographic
No of Employees - MEC,MP112,11 – 50,Demographic
No of Employees - MEC,MP113,51 – 250,Demographic
No of Employees - MEC,MP114,251+,Demographic
Other - Big5 (Onsite Form),BF642,Associations,Demographic
Other - Big5 (Onsite Form),BF643,Education & Training,Demographic
Other - Big5 (Onsite Form),BF644,Government,Demographic
Other - Big5 (Onsite Form),BF645,Media,Demographic
Payment Details,PAMNT,Paid Amount,Demographic
Payment Details,PDATE,Payment Date ,Demographic
Payment Details,PDETAILS,Payment Details - Transaction ID,Demographic
Payment Details,ONS,Paid Onsite,Demographic
Payment Details,PNOTE,Payment Notes,Demographic
Payment for Speed Networking Event,PBLOCK,Payment Blocked USD500,Demographic
Payment for Speed Networking Event,PAMNT,Amount,Demographic
Payment for Speed Networking Event,VI,Visa,Demographic
Payment for Speed Networking Event,MC,Mastercard,Demographic
Payment for Speed Networking Event,AMEX,American Express,Demographic
Payment for Speed Networking Event,PADATE,PreAuth Date,Demographic
Payment for Speed Networking Event,JCB,JCB,Demographic
Payment Mode,VI,Visa Card Payment,Demographic
Payment Mode,MC,MasterCard Payment,Demographic
Payment Mode,AMEX,Amex Card Payment,Demographic
Payment Mode,CASH,Cash Payment,Demographic
Payment Mode,CC,Credit Card,Demographic
Payment Status,PAID,Payment Received,Demographic
Payment Status,NPAID,Payment not received,Demographic
Payment Status,FOC,Free of Charge,Demographic
Recommend a Colleague,INV,Invitor,Demographic
Recommend a Colleague,INVE,Invitee,Demographic
Recommend a Colleague,IFCN,Registered Invitee,Demographic
Show Admission Policy/Terms of Condition,TNC,Please select to confirm you have read and agree to admission policy,Demographic
Show Registered For,BIG,Big 5,Demographic
Show Registered For,MEC,Middle East Concrete and PMV Live,Demographic
Speed Networking Vetting Codes,DIS,Distributor Networking,Demographic
Speed Networking Vetting Codes,DISR,Speed Networking Rejection,Demographic
Speed Networking Vetting Codes,DISA,Speed Networking Approved,Demographic
UTM Codes,UTM_SOURCE,UTMSource,Demographic
UTM Codes,UTM_MEDIUM,UTMMedium,Demographic
UTM Codes,UTM_CAMPAIGN,UTMCampaign,Demographic
UTM Codes,UTM_CONTENT,CampaignSource,Demographic
UTM Codes,UTM_TERM,PromotionCode,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP511,Journalism,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP512,Freelance writing,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP513,Radio,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP514,TV,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP515,Photography,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP516,Publishing,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP517,PR,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP518,Blogging,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP519,Videography,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP520,Other,Demographic
What is your current employment status? - Big5,BFEMP,Employed,Demographic
What is your current employment status? - Big5,BFUNE,Unemployed,Demographic
What is your current employment status? - Big5,BFSTU,Student,Demographic
What is your current employment status? - MEC,MPEMP,Employed,Demographic
What is your current employment status? - MEC,MPUNE,Unemployed,Demographic
What is your current employment status? - MEC,MPSTU,Student,Demographic
What is your nature of business ? - MEC,MP201,Agent - distributor - supplier,Demographic
What is your nature of business ? - MEC,MP202,Architectural Firm,Demographic
What is your nature of business ? - MEC,MP204,Building Consultancy,Demographic
What is your nature of business ? - MEC,MP205,Cement Supplier,Demographic
What is your nature of business ? - MEC,MP206,Commercial Services,Demographic
What is your nature of business ? - MEC,MP208,Contractor,Demographic
What is your nature of business ? - MEC,MP209,Education & Training,Demographic
What is your nature of business ? - MEC,MP210,Engineering,Demographic
What is your nature of business ? - MEC,MP213,Façade Engineering,Demographic
What is your nature of business ? - MEC,MP214,Facilities Management,Demographic
What is your nature of business ? - MEC,MP218,Government/Municipality,Demographic
What is your nature of business ? - MEC,MP219,Interior Design Agency - Other,Demographic
What is your nature of business ? - MEC,MP223,IT & Software,Demographic
What is your nature of business ? - MEC,MP224,Landscaping,Demographic
What is your nature of business ? - MEC,MP227,Manufacturer,Demographic
What is your nature of business ? - MEC,MP236,MEP Contractor,Demographic
What is your nature of business ? - MEC,MP238,Property Developer,Demographic
What is your nature of business ? - MEC,MP241,Repair Contractor,Demographic
What is your nature of business ? - MEC,MP245,Sub-Contractor,Demographic
What is your nature of business ? - MEC,MP246,Surveying,Demographic
What is your nature of business ? - MEC,MP248,Trade Association,Demographic
What is your nature of business ? - MEC,MP249,Transport & Supply chain,Demographic
What is your nature of business ? - MEC,MP250,Waste & Recycling,Demographic
What is your nature of business ? - MEC,MP299,Others,Demographic
What is your nature of business? - Big5,BF201,Agent - distributor - supplier,Demographic
What is your nature of business? - Big5,BF202,Architectural Firm,Demographic
What is your nature of business? - Big5,BF204,Building Consultancy,Demographic
What is your nature of business? - Big5,BF205,Cement Supplier,Demographic
What is your nature of business? - Big5,BF206,Commercial Services,Demographic
What is your nature of business? - Big5,BF208,Contractor,Demographic
What is your nature of business? - Big5,BF209,Education & Training,Demographic
What is your nature of business? - Big5,BF210,Engineering,Demographic
What is your nature of business? - Big5,BF213,Façade Engineering,Demographic
What is your nature of business? - Big5,BF214,Facilities Management,Demographic
What is your nature of business? - Big5,BF218,Government/Municipality,Demographic
What is your nature of business? - Big5,BF252,Interior Design Agency,Demographic
What is your nature of business? - Big5,BF219,Interior Design Agency - Other,Demographic
What is your nature of business? - Big5,BF223,IT & Software,Demographic
What is your nature of business? - Big5,BF224,Landscaping,Demographic
What is your nature of business? - Big5,BF227,Manufacturer,Demographic
What is your nature of business? - Big5,BF236,MEP Contractor,Demographic
What is your nature of business? - Big5,BF238,Property Developer,Demographic
What is your nature of business? - Big5,BF241,Repair Contractor,Demographic
What is your nature of business? - Big5,BF245,Sub-Contractor,Demographic
What is your nature of business? - Big5,BF246,Surveying,Demographic
What is your nature of business? - Big5,BF248,Trade Association,Demographic
What is your nature of business? - Big5,BF249,Transport & Supply chain,Demographic
What is your nature of business? - Big5,BF250,Waste & Recycling,Demographic
What is your nature of business? - Big5,BF299,Others,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF311,Publication 1,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF312,Publication 2,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP311,Publication 1,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP312,Publication 2,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP411,UAE,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP412,GCC,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP413,MENA,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP414,International,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP419,Other ,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP611,"Accessories, Wear Parts & Components",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP612,Aggregates & Aggregate Processing,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP613,Batching Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP614,"Block, Paver & Tile Production Equipment",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP615,Cement & Cementitious Products,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP616,Construction Chemicals & Admixtures,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP617,Construction & Commercial Vehicles,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP618,Cranes & Access Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP619,"Crushing, Screening and Recycling Equipment",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP620,"Cutting, Sawing & Coring Equipment",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP621,Decorative Concrete,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP622,Earthmoving Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP623,"Exterior Improvements, Repair & Retrofitting",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP624,Finishing Tools & Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP625,"Formwork, Formwork Accessories & Scaffolding",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP626,Lifting Appliances & Conveying Systems,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP627,Material Processing & Handling,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP628,Piling & Drilling Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP629,Placing Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP630,Power Generation,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP631,Precast Production & Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP632,Pumping Equipment & Accessories,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP633,Raw Materials Extraction Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP634,Ready Mixed Concrete,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP635,Rebar & Rebar Processing,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP636,"Site Clearing, Demolition & Relocation",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP637,Site Installation Equipment,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP638,Surface Preparation,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP639,"Transmission Engineering, Fluid Technology & Filtration",Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP640,Truck Mixers,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP641,Others,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP642,Associations,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP643,Education & Training,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP644,Government,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP645,Media,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP01,"Accessories, Wear Parts & Components",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP02,Aggregates & Aggregate Processing,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP03,Batching Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP04,"Block, Paver & Tile Production Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP05,Cement & Cementitious Products,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP06,Construction Chemicals & Admixtures,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP07,Construction & Commercial Vehicles,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP08,Construction Machinery,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP09,Cranes & Access Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP10,"Crushing, Screening and Recycling Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP11,"Cutting, Sawing & Coring Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP12,Decorative Concrete,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP13,Earthmoving Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP14,"Exterior Improvements, Repair & Retrofitting",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP15,Finishing Tools & Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP16,"Formwork, Formwork Accessories & Scaffolding",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP17,Lifting Appliances & Conveying Systems,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP18,Material Processing & Handling,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP19,Piling & Drilling Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP20,Placing Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP21,Power Generation,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP22,Precast Production & Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP23,Pumping Equipment & Accessories,Demographic
Conference Vetting Codes,VET,Conference Registration,Not Used
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP24,Raw Materials Extraction Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP25,Ready Mixed Concrete,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP26,Rebar & Rebar Processing,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP27,"Site Clearing, Demolition & Relocation",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP28,Site Installation Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP29,Surface Preparation,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP30,"Transmission Engineering, Fluid Technology & Filtration",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP31,Truck Mixers,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP32,Steel Fabrication Machinery – (Metal / Steel / Aluminum),Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP39,Other (specify),Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP33,Lubricants (onsite form),Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF01,MEP Services,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF06,Other,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF02,Building Interiors & Finishes,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF03,Building Envelope & Special Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF04,Construction Tools & Building Materials,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF05,Smart Building & Design Technologies,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03A,"Windows, Doors & Sun Protection Systems",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03B,"Roofing, Cladding & Glazing",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03C,Special Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02A,"Bathroom, Kitchen & Related Services",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02B,"Flooring, Ceiling, Wall Finishes & Other Interior Finishes",Demographic
PrePop Registrations,PPOP3,Registered from Big 5 Dubai 2016 - Telemarketing data - DTCM format,Not Used
PrePop Registrations,PPOP5,Distributors Networking - Distributors,Not Used
PrePop Registrations,PPOP6,Distributors Networking - Exhibitors,Not Used
PrePop Registrations,PPOP9,Pre-pop Registration for MEC and PMV Live,Not Used
PrePop Registrations,PPOP1,BIG5 Initial Prepop,Not Used
PrePop Registrations,PPOP4,BIG5 Second PPOP,Not Used
DMG 18 Digit Contact,18DCID,18DCID,Not Used
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02C,Lighting,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02D,"Sealants, Coatings & Adhesives",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04A,Construction Tools & Equipment,Demographic
Rejection Code - from Email Template,REJ,Excellence in Construction Summit Rejected,Not Used
Rejection Code - from Email Template,PCR,Platinum Card Rejected,Not Used
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04B,"Metal, Steel & Aluminium",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01A,"Heating, Ventilation & Air Conditioning
",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01B,Plumbing & Water Technology,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01C,"Electrical Systems
",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01D,Security & Fire Protection,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01E,Solar Energy,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05A,Software for Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05B,Design Technologies,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05C,Building Automation,Demographic
Workshop and other Category,WKS,Workshop for Big 5,Demographic
Workshop and other Category,MWKS,Workshop for MEC and PMV Live,Demographic
Workshop and other Category,HTDB,How to do Business in UAE,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A1,Day 1 - 12:00 - 13:00 BIM as information management and design process  ,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A2,Day 1 - 14:00 - 15:00 -  How BIM is transforming the construction industry,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A3,"Day 1 - 16:00 - 17:00 BIM there, done that",Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B1,Day 2 - 12:00 - 13:00- BIM for coordination – from concept to construction,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B2,Day 2 - 14:00 - 15:00 - The BIM 4D modeling through the project life cycle,Demographic
Uploads,UPL1,BIG5: VIP DATA BIG 5 2016,Not Used
Uploads,UPL2,BIG5 Exhibitor Badges for printing - Agent,Not Used
Uploads,UPL3,BIG5 Exhibitor Badges for printing - dmg,Not Used
Uploads,UPL4,MEC_PMV Badges for printing - Agents,Not Used
Uploads,UPL5,MEC_PMV Badges for printing - DMG,Not Used
Uploads,UPL6,Big5 Exhibitor badges batch 2 - Agent,Not Used
Uploads,UPL7,Big5 Exhibitor badges batch 2 - DMG,Not Used
Uploads,UPL8,MEC_PMV Badges for printing - Agents BATCH2,Not Used
Uploads,UPL9,MEC_PMV Badges for printing - DMG BATCH2,Not Used
Uploads,UPL10,"BIG5: VIP data - Disha
",Not Used
Uploads,UPL11,"BIG 5 Speaker Badges Rubina/Sabah
",Not Used
Uploads,UPL12,"Big 5 PC Badges – Rubina/Sabah
",Not Used
Uploads,UPL13,"BIG5: Cool Box  - Vicky
",Not Used
Uploads,UPL14,"BIG5: EMI Data - Vicky
",Not Used
Uploads,UPL15,"BIG5: Al Fanar data – Vicky/Hussein
",Not Used
Uploads,UPL16,"BIG5: Canadian Delegation
",Not Used
Uploads,UPL17,"BIG5: Focus Group attendees - Disha
",Not Used
Uploads,UPL18,"BIG5: Visitor data 
",Not Used
Uploads,UPL19,"BIG5: Hira Walraven AC Industry L.L.C
",Not Used
Uploads,UPL20,"BIG 5 : Italian Trade Commision
",Not Used
Uploads,UPL21,Generic VIP Upload,Not Used
Uploads,OUPL1,BIG 5 : Additional Exhibitor List From Marie - Al Rajhi File,Not Used
Uploads,UPL22,BIG 5: Sumayyah Media List,Not Used
Uploads,UPL23,BIG 5: Exhibitors Tele Delivery,Not Used
Uploads,OUPL2,BIG5: Generic Visitor Badges,Not Used
Uploads,MECUPLONS1,MEC: Request from Gabi. SPK EXH VIP VIS upload Onsite,Not Used
Uploads,OUPL3,BIG5: Copie de Data from Khadija,Not Used
Uploads,OUPL4,BIG5 : Make in India - EXH,Not Used
Uploads,OUPL5,BIG5 : Canadian Delegates 2,Not Used
Uploads,OUPL6,MEC : PC Sobha List by Kate ,Not Used
Uploads,OUPL7,BIG: JAFZA Exhibitor,Not Used
Uploads,OUPL8,BIG: DWTC Organizer,Not Used
Uploads,OUPL9,BIG5 : JRD VIP List,Not Used
Uploads,OUPL10,BIG5 : DMG Runners Staff List (Vibes),Not Used
Uploads,OUPL11,BIG5 : Archie Survey Staff List,Not Used
Uploads,OUPL12,BIG5 : Press List Summayah,Not Used
Uploads,OUPL13,BIG: Organizers Badge from Vicky DWTC,Not Used
Uploads,OUPL14,BIG: Salma Additional Visitor,Not Used
Subscribe to - MEC (Onsite),MP301,The Big 5 Hub industry newsletter,Not Used
Subscribe to - MEC (Onsite),MP302,The Big 5 Hub quarterly magazine,Not Used
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B3,Day 2 - 16:00 - 17:00 - IoT-izing The Construction Industry - 1001 Real Life Case Studies from Around the Globe,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C1,Day 3 - 12:00 - 13:00 - BIM Case study of office with warehouse,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C2,Day 3 - 14:00 - 15:00 - Integrating Material and Textural Information for As-Built BIM Using IR Sensing,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C3,Day 3 - 16:00 - 17:00 - Bim4Analysis,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D1,Day 4 - 12:00 - 13:00 - What’s wrong with BIM? - Challenges in the Adoption of a new Planning Paradigm,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D2,Day 4 - 14:00 - 15:00 - How to get the best out of BIM intelligence in design process and taking it forward in construction,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1D3,Day 4 - 16:00 - 17:00 - BIM for construction ,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A1,Day 1 - 12:00 - 13:00 - Architectural Advancement: Creating an Iconic Development,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A2,Day 1 - 14:00 - 15:00 - Adaptive Architecture: convertible structures,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2A3,Day 1 - 16:00 - 17:00 - Improving façade performance through design,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B1,"Day 2 - 12:00 - 13:00 - Transformation, Translation and Representation",Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B2,Day 2 - 14:00 - 15:00 - Sustainability Beyond Design ,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2B3,"Day 2 - 16:00 - 17:00 - 
Smart Construction & Architecture",Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C1,Day 3 - 12:00 - 13:00 - Efficient and sustainable cooling,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C2,Day 3 - 14:00 - 15:00 - Significance of MEP - What’s next for District Cooling?,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2C3,Day 3 - 16:00 - 17:00 - Energy Efficient HVAC System's for Healthcare,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D1,Day 4 - 12:00 - 13:00 - MEP in transport Infrastructure,Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D2,"Day 4 - 14:00 - 15:00 - MEP trade, challenges, trends and solutions",Demographic
Workshop: Theater 2 - ARCHITECTECTURE & MEP SERVICES,T2D3,Day 4 - 16:00 - 17:00 - Comparative Analysis of Traditional Vs. Sustainable Chilled Water Plant Design,Demographic
