Category Text,Code,Question Text
Workshop: Theater 6 - PROJECT MANAGEMENT,T6B3,Day 2 - 16:00 - 17:00 Leadership to drive projects and project management career to effective change    
Workshop: Theater 6 - PROJECT MANAGEMENT,T6C1,"Day 3 -  12:00 - 13:00 
Controlling Productivity in Construction Projects"
Workshop: Theater 6 - PROJECT MANAGEMENT,T6C2,Day 3 - 14:00 - 15:00 Intrapreneurship - Need of the Hour in Program Management
Workshop: Theater 6 - PROJECT MANAGEMENT,T6C3,Day 3 - 16:00 - 17:00 Construction Projects and their impact on project's constraints
Workshop: Theater 6 - PROJECT MANAGEMENT,T6D1,"Day 4  - 12:00 - 13:00 
Institutionalizing Project Management"
Workshop: Theater 6 - PROJECT MANAGEMENT,T6D2,Day 4 -  14:00 - 15:00 Does your strategy performance truly reflect your portfolio performance? 
Workshop: Theater 6 - PROJECT MANAGEMENT,T6D3,Day 4 - 16:00 - 17:00 Towards Lean Construction: the future of BIM–based project planning and control 
What is your current employment status? - MEC,MPEMP,Employed
What is your current employment status? - MEC,MPUNE,Unemployed
What is your current employment status? - MEC,MPSTU,Student
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP01,"Accessories, Wear Parts & Components"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP02,Aggregates & Aggregate Processing
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP03,Batching Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP04,"Block, Paver & Tile Production Equipment"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP05,Cement & Cementitious Products
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP06,Construction Chemicals & Admixtures
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP07,Construction & Commercial Vehicles
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP08,Construction Machinery
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP09,Cranes & Access Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP10,"Crushing, Screening and Recycling Equipment"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP11,"Cutting, Sawing & Coring Equipment"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP12,Decorative Concrete
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP13,Earthmoving Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP14,"Exterior Improvements, Repair & Retrofitting"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP15,Finishing Tools & Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP16,"Formwork, Formwork Accessories & Scaffolding"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP17,Lifting Appliances & Conveying Systems
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP18,Material Processing & Handling
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP19,Piling & Drilling Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP20,Placing Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP21,Power Generation
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP22,Precast Production & Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP23,Pumping Equipment & Accessories
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP24,Raw Materials Extraction Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP25,Ready Mixed Concrete
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP26,Rebar & Rebar Processing
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP27,"Site Clearing, Demolition & Relocation"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP28,Site Installation Equipment
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP29,Surface Preparation
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP30,"Transmission Engineering, Fluid Technology & Filtration"
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP31,Truck Mixers
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP32,Steel Fabrication Machinery – (Metal / Steel / Aluminum)
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP39,Other (specify)
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP33,Lubricants (onsite form)
What is your nature of business ? - MEC,MP201,Agent - distributor - supplier
What is your nature of business ? - MEC,MP202,Architectural Firm
What is your nature of business ? - MEC,MP204,Building Consultancy
What is your nature of business ? - MEC,MP205,Cement Supplier
What is your nature of business ? - MEC,MP206,Commercial Services
What is your nature of business ? - MEC,MP208,Contractor
What is your nature of business ? - MEC,MP209,Education & Training
What is your nature of business ? - MEC,MP210,Engineering
What is your nature of business ? - MEC,MP213,Façade Engineering
What is your nature of business ? - MEC,MP214,Facilities Management
What is your nature of business ? - MEC,MP218,Government/Municipality
What is your nature of business ? - MEC,MP219,Interior Design Agency - Other
What is your nature of business ? - MEC,MP223,IT & Software
What is your nature of business ? - MEC,MP224,Landscaping
What is your nature of business ? - MEC,MP227,Manufacturer
What is your nature of business ? - MEC,MP236,MEP Contractor
What is your nature of business ? - MEC,MP238,Property Developer
What is your nature of business ? - MEC,MP241,Repair Contractor
What is your nature of business ? - MEC,MP245,Sub-Contractor
What is your nature of business ? - MEC,MP246,Surveying
What is your nature of business ? - MEC,MP248,Trade Association
What is your nature of business ? - MEC,MP249,Transport & Supply chain
What is your nature of business ? - MEC,MP250,Waste & Recycling
What is your nature of business ? - MEC,MP299,Others
Are you a key buyer with direct purchasing authority for your company? - MEC,MP81,Yes
Are you a key buyer with direct purchasing authority for your company? - MEC,MP82,No
Direct level of purchasing authority - MEC,MP91,"Up to $50,000"
Direct level of purchasing authority - MEC,MP92,"Up to $100,000"
Direct level of purchasing authority - MEC,MP93,"Up to $250,000"
Direct level of purchasing authority - MEC,MP94,"Up to $500,000"
Direct level of purchasing authority - MEC,MP95,"Up to $1,000,000"
Direct level of purchasing authority - MEC,MP96,"Up to $5,000,000"
Direct level of purchasing authority - MEC,MP97,"Up to $10,000,000"
Direct level of purchasing authority - MEC,MP98,Up to $25 million
Direct level of purchasing authority - MEC,MP99,Up to $50 million
Direct level of purchasing authority - MEC,MP100,Up to $100 million
Direct level of purchasing authority - MEC,MP101,100 million +
Direct level of purchasing authority - MEC,MP102,Don't Know
Direct level of purchasing authority - MEC,MP103,Other
Direct level of purchasing authority - MEC,MP104,None
No of Employees - MEC,MP111,0 – 10
No of Employees - MEC,MP112,11 – 50
No of Employees - MEC,MP113,51 – 250
No of Employees - MEC,MP114,251+
No of Employees - (0-10) - MEC,MP111A,Local
No of Employees - (0-10) - MEC,MP111B,Regional
No of Employees - (0-10) - MEC,MP111C,International
No of Employees - (11-50) - MEC,MP112A,Local
No of Employees - (11-50) - MEC,MP112B,Regional
No of Employees - (11-50) - MEC,MP112C,International
No of Employees - (51-250) - MEC,MP113A,Local
No of Employees - (51-250) - MEC,MP113B,Regional
No of Employees - (51-250) - MEC,MP113C,International
No of Employees - (251+) - MEC,MP114A,Local
No of Employees - (251+) - MEC,MP114B,Regional
No of Employees - (251+) - MEC,MP114C,International
Are you interested in finding out more information about exhibiting?  - MEC,MP131,Yes
Are you interested in finding out more information about exhibiting?  - MEC,MP132,No
Are you interested in other construction events? - MEC,MP141,Yes
Are you interested in other construction events? - MEC,MP142,No
Are you interested in other construction events? - Yes - MEC,MP176,The Big 5 Kuwait (Onsite form)
Are you interested in other construction events? - Yes - MEC,MP177,The Big 5 East Africa Kenya (Onsite form)
Are you interested in other construction events? - Yes - MEC,MP169,The Big 5 Indonesia (Onsite Form)
Are you interested in other construction events? - Yes - MEC,MP170,The Big 5 India (Onsite Form)
Are you interested in other construction events? - Yes - MEC,MP175,Middle East Coating Show (onsite form)
Are you interested in other construction events? - Yes - MEC,MP167,The Big 5 (Dubai) | 21-24 November 2016
Are you interested in other construction events? - Yes - MEC,MP151,FM Expo Saudi (Jeddah) |15 – 17 January 2017
Are you interested in other construction events? - Yes - MEC,MP152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017
Are you interested in other construction events? - Yes - MEC,MP153,The Big 5 Saudi (Jeddah) | 27-30 March 2017
Are you interested in other construction events? - Yes - MEC,MP168,Africa Renewable Energy Summit | 4 – 5 April 2017
Are you interested in other construction events? - Yes - MEC,MP154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017 "
Are you interested in other construction events? - Yes - MEC,MP155,The Big 5 North Africa (Casablanca) | 25- 27 April 2017
Are you interested in other construction events? - Yes - MEC,MP166,The Big 5 (Dubai) | 26-29 November 2017
Are you interested in other construction events? - Yes - MEC,MP156,Middle East Covering (Dubai)| 22-25 May 2017
Are you interested in other construction events? - Yes - MEC,MP157,Middle East Stone (Dubai) | 22-25 May 2017
Are you interested in other construction events? - Yes - MEC,MP158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP159,Elevators & Access Control (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP160,FM EXPO (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP161,Gulf Glass (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP162,Intersolar Middle East (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017
Are you interested in other construction events? - Yes - MEC,MP165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017"
MEC Workshop - Building Block Workshop Theatre,TA1,Day 1 - Fabric Reinforced Cementitious Matrix (FRCM) Composites for Infrastructure Strengthening (MEC)
MEC Workshop - Building Block Workshop Theatre,TA2,Day 1 - Tips to Finance Machinery (PMV)
MEC Workshop - Building Block Workshop Theatre,TA3,Day 1 - How to continue to rebuild and prevent against natural disaster? (MEC)
MEC Workshop - Building Block Workshop Theatre,TA4,Day 1 - How to buy and sell construction equipment like a pro? (PMV)
MEC Workshop - Building Block Workshop Theatre,TA5,Day 2 - Durability of Concrete Structures in Aggressive Conditions with FRC  MEC)
MEC Workshop - Building Block Workshop Theatre,TA6,Day 2 - A Practical approach towards Behavior Based Safety through OHS Culture Maturity Development Tools (PMV)
MEC Workshop - Building Block Workshop Theatre,TA7,Day 2 - Advanced Materials and Techniques for Reinforced Concrete Structures – Fiber Reinforced Polymer (FRP) (PANEL) (MEC)
MEC Workshop - Building Block Workshop Theatre,TA8,Day 2 - Evolution of the Tipper Body Weight for the Construction market worldwide (PMV)
MEC Workshop - Building Block Workshop Theatre,TA9,Day 3 - The role of telematics in the Middle East's Construction: Big Data and Big Machines (PMV)
MEC Workshop - Building Block Workshop Theatre,TA10,Day 3 - Concrete Repair (MEC)
MEC Workshop - Building Block Workshop Theatre,TA11,Day 3 -  Arbitration and dispute resolutions in construction claims (MEC)
MEC Workshop - Building Block Workshop Theatre,TA12,Day 3 - Efforts towards low emission targets: Clean construction Industry (PMV)
MEC Workshop - Building Block Workshop Theatre,TA13,Day 4 - The heavy equipment health check (PMV)     
MEC Workshop - Building Block Workshop Theatre,TA14,Day 4 - Personal Protection Equipment (PPE) –health and safety(PMV)
MEC Workshop - Building Block Workshop Theatre,TA15,Day 4 - Demystifying the ‘fit for purpose’ obligations in EPC and Design & Build Contracts (MEC)
MEC Workshop - Building Block Workshop Theatre,TA16,Day 4 - Mobile Elevating Work Platform innovation & Development
MEC Workshop - Tools of the Trade Workshop Theater ,TB1,Day 1 - Challenges and Opportunities in the Concrete Industry (MEC)    
MEC Workshop - Tools of the Trade Workshop Theater ,TB2,Day 1 - Recycled Concrete in Road Projects (MEC)   
MEC Workshop - Tools of the Trade Workshop Theater ,TB3,Day 1 -  Performance-Based Specifications: Case studies in the UAE (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB14,Day 1 - Understanding the application and dynamics of Green Concrete in Dubai (Panel) (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB4,Day 2 - Innovative design methods of concrete – (Intro to Decorative Concrete) (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB5,Day 2 - Coloring options for Decorative Concrete - From boring to beautiful - adding color to new or existing concrete (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB6,Day 2 - Troubleshooting Coating & Sealer Failures - Coating Preparation (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB7,Day 2 - Trends in Polished Concrete (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB8,Day 3 - Integrated reliability and durability based structural health monitoring in concrete structures: case study bridges (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB9,Day 3 - Precast innovations for sustainability and competitiveness (MEC)        
MEC Workshop - Tools of the Trade Workshop Theater ,TB10,Day 3 - Advance Dry Mortar Technology  (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB15,Day 3 -  Development of cement free polymer concrete for use in UAE  
MEC Workshop - Tools of the Trade Workshop Theater ,TB11,Day 4 - Concrete Sustainability - The Masdar Experience (MEC)                  
MEC Workshop - Tools of the Trade Workshop Theater ,TB12,Day 4 - Advances in hot weather concreting (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB13,Day 4 - Carbon Dioxide Utilization in Ready-mix Concrete Production (MEC)
MEC Workshop - Tools of the Trade Workshop Theater ,TB16,"Day 4 - Polyurea, a miracle in coating industry (MEC)       "
MEC Seminar - Let's Get Technical Seminar ,TS01,Day 1 - How to manage BIM for Concrete Construction                   
MEC Seminar - Let's Get Technical Seminar ,TS02,Day 1 - Achieving increased concrete durability and serviceability by the use of improved construction materials and techniques
MEC Seminar - Let's Get Technical Seminar ,TS03,Day 1 -  Commercial vehicle lubricants in a low Sulphur diesel environment                         
MEC Seminar - Let's Get Technical Seminar ,TS04,Day 1 - Can Performance-Based Specifications be implemented for Durability of Concrete? Will it work? (MEC)
MEC Seminar - Let's Get Technical Seminar ,TS05,Day 1 - Enhancement of Reinforced Concrete Infrastructure Service Life in the GCC Countries
MEC Seminar - Let's Get Technical Seminar ,TS06,Day 2 - Construction and demolition waste recycling – Does it make a business case? 
MEC Seminar - Let's Get Technical Seminar ,TS07,Day 2 - Work at Height Safety   
MEC Seminar - Let's Get Technical Seminar ,TS08,Day 2 - Middle East Concrete Market
MEC Seminar - Let's Get Technical Seminar ,TS09,Day 2 -  Robotics and Applications 
MEC Seminar - Let's Get Technical Seminar ,TS10,Day 2 - The Importance of Effective Construction Management in Today's Competitive Marketplace.
MEC Seminar - Let's Get Technical Seminar ,TS11,"Day 2 - Leaks, Tunneling and Deep Foundation Companies (PMV) "
MEC Seminar - Let's Get Technical Seminar ,TS12,Day 3 - The Development of the GRC Industry – 40 years on
MEC Seminar - Let's Get Technical Seminar ,TS13,Day 3 - Equipment management & Maintenance
MEC Seminar - Let's Get Technical Seminar ,TS14,Day 3 - Non-destructive testing: Quality control & structural evaluation (MEC)
MEC Seminar - Let's Get Technical Seminar ,TS15,Day 3 - Power of Coolants in the construction industry + Coolants DEMO (coolants v/s water v/s other low quality coolants) (PMV)
MEC Seminar - Let's Get Technical Seminar ,TS16,Day 3 - Fleet Management (PMV)
MEC Seminar - Let's Get Technical Seminar ,TS22,Day 3 - Advantages of using dry mix mortar (MEC)
MEC Seminar - Let's Get Technical Seminar ,TS17,Day 4 - Influence of soil conditions on design of structures:  
MEC Seminar - Let's Get Technical Seminar ,TS18,Day 4 - Green Building Materials (MEC)
MEC Seminar - Let's Get Technical Seminar ,TS19,Day 4 - GRC – The Next Generation of Materials and Applications
MEC Seminar - Let's Get Technical Seminar ,TS20,Day 4 - Difference in lubricants formulated with Group 1 v/s Group 2 base oils and impact on your equipment's (PANEL) (PMV)
MEC Seminar - Let's Get Technical Seminar ,TS21,Day 4 - Rail Less Overhead Crane Technology (PMV)
UTM Codes,UTM_SOURCE,UTMSource
UTM Codes,UTM_MEDIUM,UTMMedium
UTM Codes,UTM_CAMPAIGN,UTMCampaign
UTM Codes,UTM_CONTENT,CampaignSource
UTM Codes,UTM_TERM,PromotionCode
Conference Vetting Codes,VET,Conference Registration
Distributor Networking : Please select which countries you are interested in finding a distributor ,D01,Saudi Arabia
Distributor Networking : Please select which countries you are interested in finding a distributor ,D02,Oman
Distributor Networking : Please select which countries you are interested in finding a distributor ,D03,Bahrain
Distributor Networking : Please select which countries you are interested in finding a distributor ,D04,UAE
Distributor Networking : Please select which countries you are interested in finding a distributor ,D05,Kuwait
Distributor Networking : Please select which countries you are interested in finding a distributor ,D06,Qatar
Distributor Networking : From which product sectors are you looking to export products,D07,Smart building & design technologies
Distributor Networking : From which product sectors are you looking to export products,D08,Construction tools & building materials
Distributor Networking : From which product sectors are you looking to export products,D09,Building envelope & special construction
Distributor Networking : From which product sectors are you looking to export products,D10,Building interiors & finishes
Distributor Networking : From which product sectors are you looking to export products,D11,MEP services
Distributor Networking : Sessions,DS1A,Session 1 – 23 Nov (11am – 1:30pm) : Saudi Arabia
Distributor Networking : Sessions,DS1B,Session 1 – 23 Nov (11am – 1:30pm) : Oman
Distributor Networking : Sessions,DS1C,Session 1 – 23 Nov (11am – 1:30pm) : Bahrain
Distributor Networking : Sessions,DS2A,Session 2 – 23 Nov (4pm – 6:30pm) : UAE
Distributor Networking : Sessions,DS2B,Session 2 – 23 Nov (4pm – 6:30pm) : Kuwait
Distributor Networking : Sessions,DS2C,Session 2 – 23 Nov (4pm – 6:30pm) : Qatar
Distributor Networking : From which product sectors are you looking to import products ,D12,Smart building & design technologies
Distributor Networking : From which product sectors are you looking to import products ,D13,Construction tools & building materials 
Distributor Networking : From which product sectors are you looking to import products ,D14,Building envelope & special construction
Distributor Networking : From which product sectors are you looking to import products ,D15,Building interiors & finishes 
Distributor Networking : From which product sectors are you looking to import products ,D16,MEP services 
PrePop Registrations,PPOP3,Registered from Big 5 Dubai 2016 - Telemarketing data - DTCM format
PrePop Registrations,PPOP5,Distributors Networking - Distributors
PrePop Registrations,PPOP6,Distributors Networking - Exhibitors
PrePop Registrations,PPOP9,Pre-pop Registration for MEC and PMV Live
PrePop Registrations,PPOP1,BIG5 Initial Prepop
PrePop Registrations,PPOP4,BIG5 Second PPOP
DMG 18 Digit Contact,18DCID,18DCID
Speed Networking Vetting Codes,DIS,Distributor Networking
Speed Networking Vetting Codes,DISR,Speed Networking Rejection
Speed Networking Vetting Codes,DISA,Speed Networking Approved
Rejection Code - from Email Template,REJ,Excellence in Construction Summit Rejected
Rejection Code - from Email Template,PCR,Platinum Card Rejected
Payment for Speed Networking Event,PBLOCK,Payment Blocked USD500
Payment for Speed Networking Event,PAMNT,Amount
Payment for Speed Networking Event,VI,Visa
Payment for Speed Networking Event,MC,Mastercard
Payment for Speed Networking Event,AMEX,American Express
Payment for Speed Networking Event,PADATE,PreAuth Date
Payment for Speed Networking Event,JCB,JCB
GAIA Awards Products,GAP1,Prometal Metal Industries: ABLOY EL560L Low Energy Lock 
GAIA Awards Products,GAP2,Synergy United Co : DIASEN SRL: Diathonite Evolution  
GAIA Awards Products,GAP3,EcoPower Hybrid Hurricane Ventilator
GAIA Awards Products,GAP4,Yesos Ibéricos SA : Gypsum board
GAIA Awards Products,GAP5,Cobiax Middle East : Cobiax Slab System
GAIA Awards Products,GAP6,INOTEC GmbH : OWC - One-Way-Container 
GAIA Awards Products,GAP7,Onyx Solar Energy SL : Photovoltaic Glass for Buildings
GAIA Awards Products,GAP8,SAGEGLASS : SageGlass
GAIA Awards Products,GAP9,Solidian : Solidian GRID
GAIA Awards Products,GAP10,JUMBO ENGINEERING LLC : TORO Dual Path – Dedicated Outdoor Air System
Uploads,UPL1,BIG5: VIP DATA BIG 5 2016
Uploads,UPL2,BIG5 Exhibitor Badges for printing - Agent
Uploads,UPL3,BIG5 Exhibitor Badges for printing - dmg
Uploads,UPL4,MEC_PMV Badges for printing - Agents
Uploads,UPL5,MEC_PMV Badges for printing - DMG
Uploads,UPL6,Big5 Exhibitor badges batch 2 - Agent
Uploads,UPL7,Big5 Exhibitor badges batch 2 - DMG
Uploads,UPL8,MEC_PMV Badges for printing - Agents BATCH2
Uploads,UPL9,MEC_PMV Badges for printing - DMG BATCH2
Uploads,UPL10,"BIG5: VIP data - Disha
"
Uploads,UPL11,"BIG 5 Speaker Badges Rubina/Sabah
"
Uploads,UPL12,"Big 5 PC Badges – Rubina/Sabah
"
Uploads,UPL13,"BIG5: Cool Box  - Vicky
"
Uploads,UPL14,"BIG5: EMI Data - Vicky
"
Uploads,UPL15,"BIG5: Al Fanar data – Vicky/Hussein
"
Uploads,UPL16,"BIG5: Canadian Delegation
"
Uploads,UPL17,"BIG5: Focus Group attendees - Disha
"
Uploads,UPL18,"BIG5: Visitor data 
"
Uploads,UPL19,"BIG5: Hira Walraven AC Industry L.L.C
"
Uploads,UPL20,"BIG 5 : Italian Trade Commision
"
Uploads,UPL21,Generic VIP Upload
Uploads,OUPL1,BIG 5 : Additional Exhibitor List From Marie - Al Rajhi File
Uploads,UPL22,BIG 5: Sumayyah Media List
Uploads,UPL23,BIG 5: Exhibitors Tele Delivery
Uploads,OUPL2,BIG5: Generic Visitor Badges
Uploads,MECUPLONS1,MEC: Request from Gabi. SPK EXH VIP VIS upload Onsite
Uploads,OUPL3,BIG5: Copie de Data from Khadija
Uploads,OUPL4,BIG5 : Make in India - EXH
Uploads,OUPL5,BIG5 : Canadian Delegates 2
Uploads,OUPL6,MEC : PC Sobha List by Kate 
Uploads,OUPL7,BIG: JAFZA Exhibitor
Uploads,OUPL8,BIG: DWTC Organizer
Uploads,OUPL9,BIG5 : JRD VIP List
Uploads,OUPL10,BIG5 : DMG Runners Staff List (Vibes)
Uploads,OUPL11,BIG5 : Archie Survey Staff List
Uploads,OUPL12,BIG5 : Press List Summayah
Uploads,OUPL13,BIG: Organizers Badge from Vicky DWTC
Uploads,OUPL14,BIG: Salma Additional Visitor
Subscribe to - MEC (Onsite),MP301,The Big 5 Hub industry newsletter
Subscribe to - MEC (Onsite),MP302,The Big 5 Hub quarterly magazine
What is your publication/programme name? - MEC (MED Onsite Form),MP311,Publication 1
What is your publication/programme name? - MEC (MED Onsite Form),MP312,Publication 2
What region do you operate in? - MEC (MED Onsite Form),MP411,UAE
What region do you operate in? - MEC (MED Onsite Form),MP412,GCC
What region do you operate in? - MEC (MED Onsite Form),MP413,MENA
What region do you operate in? - MEC (MED Onsite Form),MP414,International
What region do you operate in? - MEC (MED Onsite Form),MP419,Other 
What area of media do you work in? - MEC (MED Onsite Form),MP511,Journalism
What area of media do you work in? - MEC (MED Onsite Form),MP512,Freelance writing
What area of media do you work in? - MEC (MED Onsite Form),MP513,Radio
What area of media do you work in? - MEC (MED Onsite Form),MP514,TV
What area of media do you work in? - MEC (MED Onsite Form),MP515,Photography
What area of media do you work in? - MEC (MED Onsite Form),MP516,Publishing
What area of media do you work in? - MEC (MED Onsite Form),MP517,PR
What area of media do you work in? - MEC (MED Onsite Form),MP518,Blogging
What area of media do you work in? - MEC (MED Onsite Form),MP519,Videography
What area of media do you work in? - MEC (MED Onsite Form),MP520,Other
What topic areas do you cover? - MEC (MED Onsite Form),MP611,"Accessories, Wear Parts & Components"
What topic areas do you cover? - MEC (MED Onsite Form),MP612,Aggregates & Aggregate Processing
What topic areas do you cover? - MEC (MED Onsite Form),MP613,Batching Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP614,"Block, Paver & Tile Production Equipment"
What topic areas do you cover? - MEC (MED Onsite Form),MP615,Cement & Cementitious Products
What topic areas do you cover? - MEC (MED Onsite Form),MP616,Construction Chemicals & Admixtures
What topic areas do you cover? - MEC (MED Onsite Form),MP617,Construction & Commercial Vehicles
What topic areas do you cover? - MEC (MED Onsite Form),MP618,Cranes & Access Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP619,"Crushing, Screening and Recycling Equipment"
What topic areas do you cover? - MEC (MED Onsite Form),MP620,"Cutting, Sawing & Coring Equipment"
What topic areas do you cover? - MEC (MED Onsite Form),MP621,Decorative Concrete
What topic areas do you cover? - MEC (MED Onsite Form),MP622,Earthmoving Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP623,"Exterior Improvements, Repair & Retrofitting"
What topic areas do you cover? - MEC (MED Onsite Form),MP624,Finishing Tools & Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP625,"Formwork, Formwork Accessories & Scaffolding"
What topic areas do you cover? - MEC (MED Onsite Form),MP626,Lifting Appliances & Conveying Systems
What topic areas do you cover? - MEC (MED Onsite Form),MP627,Material Processing & Handling
What topic areas do you cover? - MEC (MED Onsite Form),MP628,Piling & Drilling Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP629,Placing Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP630,Power Generation
What topic areas do you cover? - MEC (MED Onsite Form),MP631,Precast Production & Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP632,Pumping Equipment & Accessories
What topic areas do you cover? - MEC (MED Onsite Form),MP633,Raw Materials Extraction Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP634,Ready Mixed Concrete
What topic areas do you cover? - MEC (MED Onsite Form),MP635,Rebar & Rebar Processing
What topic areas do you cover? - MEC (MED Onsite Form),MP636,"Site Clearing, Demolition & Relocation"
What topic areas do you cover? - MEC (MED Onsite Form),MP637,Site Installation Equipment
What topic areas do you cover? - MEC (MED Onsite Form),MP638,Surface Preparation
What topic areas do you cover? - MEC (MED Onsite Form),MP639,"Transmission Engineering, Fluid Technology & Filtration"
What topic areas do you cover? - MEC (MED Onsite Form),MP640,Truck Mixers
What topic areas do you cover? - MEC (MED Onsite Form),MP641,Others
What topic areas do you cover? - MEC (MED Onsite Form),MP642,Associations
What topic areas do you cover? - MEC (MED Onsite Form),MP643,Education & Training
What topic areas do you cover? - MEC (MED Onsite Form),MP644,Government
What topic areas do you cover? - MEC (MED Onsite Form),MP645,Media
Payment Status,PAID,Payment Received
Payment Status,NPAID,Payment not received
Payment Status,FOC,Free of Charge
Payment Mode,VI,Visa Card Payment
Payment Mode,MC,MasterCard Payment
Payment Mode,AMEX,Amex Card Payment
Payment Mode,CASH,Cash Payment
Payment Mode,CC,Credit Card
Payment Details,PAMNT,Paid Amount
Payment Details,PDATE,Payment Date 
Payment Details,PDETAILS,Payment Details - Transaction ID
Payment Details,ONS,Paid Onsite
Payment Details,PNOTE,Payment Notes
DTCM Categories - Internal Use Only,SVISPREREG,SVISPREREG
DTCM Categories - Internal Use Only,SEXHPREREG,SEXHPREREG
DTCM Categories - Internal Use Only,SPLATINUMCL,SPLATINUMCL
DTCM Categories - Internal Use Only,SVIPVISITORS,SVIPVISITORS
DTCM Categories - Internal Use Only,SSUMMITDELE,SSUMMITDELE
DTCM Categories - Internal Use Only,SSPEAKERS,SSPEAKERS
DTCM Categories - Internal Use Only,SORGANISER,SORGANISER
DTCM Categories - Internal Use Only,SEXHOL,SEXHOL
DTCM Categories - Internal Use Only,SOSVIS,SOSVIS
DTCM Categories - Internal Use Only,SMEDIA,SMEDIA
DTCM Categories - Internal Use Only,SOLVIS,SOLVIS
DTCM Categories - Internal Use Only,SVISPREREG2,SVISPREREG2
DTCM Categories - Internal Use Only,SPLANB,SPLANB
Generic Badges,GVIP,Generic VIP
What is your publication/programme name? - Big5 (Media Onsite Form),BF311,Publication 1
