Questions,Code,Decode,,Decode,usage
No of Employees - (0-10) - MEC,MP111A,dummyvar,,dummyvar,Demographic
No of Employees - (0-10) - MEC,MP111B,dummyvar,,dummyvar,Demographic
No of Employees - (0-10) - MEC,MP111C,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112A,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112B,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112C,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112A,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112B,dummyvar,,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112C,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114A,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114B,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114C,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114A,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114B,dummyvar,,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114C,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113A,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113B,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113C,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113A,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113B,dummyvar,,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113C,dummyvar,,dummyvar,Demographic
No of Employees - Big5,BF111,dummyvar,,dummyvar,Demographic
No of Employees - Big5,BF112,noEmploy11to50,dummy0to10.,noEmploy11to50dummy0to10.,Demographic
No of Employees - Big5,BF113,noEmploy51to250,dummy0to10.,noEmploy51to250dummy0to10.,Demographic
No of Employees - Big5,BF114,noEmploy251plus,dummy0to10.,noEmploy251plusdummy0to10.,Demographic
No of Employees - MEC,MP111,dummyvar,,dummyvar,Demographic
No of Employees - MEC,MP112,noEmploy11to50,dummy0to10.,noEmploy11to50dummy0to10.,Demographic
No of Employees - MEC,MP113,noEmploy51to250,dummy0to10.,noEmploy51to250dummy0to10.,Demographic
No of Employees - MEC,MP114,noEmploy251plus,dummy0to10.,noEmploy251plusdummy0to10.,Demographic
Other - Big5 (Onsite Form),BF642,dummyvar,,dummyvar,Demographic
Other - Big5 (Onsite Form),BF643,dummyvar,,dummyvar,Demographic
Other - Big5 (Onsite Form),BF644,dummyvar,,dummyvar,Demographic
Other - Big5 (Onsite Form),BF645,dummyvar,,dummyvar,Demographic
Payment Details,PAMNT,dummyvar,,dummyvar,Demographic
Payment Details,PDATE,dummyvar,,dummyvar,Demographic
Payment Details,PDETAILS,dummyvar,,dummyvar,Demographic
Payment Details,ONS,dummyvar,,dummyvar,Demographic
Payment Details,PNOTE,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,PBLOCK,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,PAMNT,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,VI,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,MC,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,AMEX,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,PADATE,dummyvar,,dummyvar,Demographic
Payment for Speed Networking Event,JCB,dummyvar,,dummyvar,Demographic
Payment Mode,VI,PaymentMode.visa,dummycreditcard.paymentmode.,PaymentMode.visadummycreditcard.paymentmode.,Demographic
Payment Mode,MC,PaymentMode.mastercard,dummycreditcard.paymentmode.,PaymentMode.mastercarddummycreditcard.paymentmode.,Demographic
Payment Mode,AMEX,PaymentMode.amex,dummycreditcard.paymentmode.,PaymentMode.amexdummycreditcard.paymentmode.,Demographic
Payment Mode,CASH,PaymentMode.Cash,dummycreditcard.paymentmode.,PaymentMode.Cashdummycreditcard.paymentmode.,Demographic
Payment Mode,CC,dummyvar,,dummyvar,Demographic
Payment Status,PAID,PaymentStatus.Received,dummyNotPaid.PaymentStatus.,PaymentStatus.ReceiveddummyNotPaid.PaymentStatus.,Demographic
Payment Status,NPAID,dummyvar,,dummyvar,Demographic
Payment Status,FOC,PaymentStatus.FOC,dummyNotPaid.PaymentStatus.,PaymentStatus.FOCdummyNotPaid.PaymentStatus.,Demographic
Recommend a Colleague,INV,dummyvar,,dummyvar,Demographic
Recommend a Colleague,INVE,recommend.Invitee,dummyInvitor.recommendColleague.,recommend.InviteedummyInvitor.recommendColleague.,Demographic
Recommend a Colleague,IFCN,recommedn.RegisteredInvitee,dummyInvitor.recommendColleague.,recommedn.RegisteredInviteedummyInvitor.recommendColleague.,Demographic
Show Admission Policy/Terms of Condition,TNC,dummyvar,,dummyvar,Demographic
Show Registered For,BIG,showRegistered.Big5,dummyMEC.showRegistered.Big5,showRegistered.Big5dummyMEC.showRegistered.Big5,Demographic
Show Registered For,MEC,dummyvar,,dummyvar,Demographic
Speed Networking Vetting Codes,DIS,dummyvar,,dummyvar,Demographic
Speed Networking Vetting Codes,DISR,dummyvar,,dummyvar,Demographic
Speed Networking Vetting Codes,DISA,dummyvar,,dummyvar,Demographic
UTM Codes,UTM_SOURCE,dummyvar,,dummyvar,Demographic
UTM Codes,UTM_MEDIUM,dummyvar,,dummyvar,Demographic
UTM Codes,UTM_CAMPAIGN,dummyvar,,dummyvar,Demographic
UTM Codes,UTM_CONTENT,dummyvar,,dummyvar,Demographic
UTM Codes,UTM_TERM,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP511,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP512,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP513,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP514,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP515,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP516,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP517,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP518,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP519,dummyvar,,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP520,dummyvar,,dummyvar,Demographic
What is your current employment status? - Big5,BFEMP,Employed,Employed,EmployedEmployed,Demographic
What is your current employment status? - Big5,BFUNE,dummyvar,,dummyvar,Demographic
What is your current employment status? - Big5,BFSTU,Student,Student,StudentStudent,Demographic
What is your current employment status? - MEC,MPEMP,Employed,Employed,EmployedEmployed,Demographic
What is your current employment status? - MEC,MPUNE,dummyvar,,dummyvar,Demographic
What is your current employment status? - MEC,MPSTU,Student,Student,StudentStudent,Demographic
What is your nature of business ? - MEC,MP201,dummyvar,,dummyvar,Demographic
What is your nature of business ? - MEC,MP202,Architectural Firm,dummyAgentDistributorSupplier.NOB.,Architectural FirmdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP204,Building Consultancy,dummyAgentDistributorSupplier.NOB.,Building ConsultancydummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP205,Cement Supplier,dummyAgentDistributorSupplier.NOB.,Cement SupplierdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP206,Commercial Services,dummyAgentDistributorSupplier.NOB.,Commercial ServicesdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP208,Contractor,dummyAgentDistributorSupplier.NOB.,ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP209,Education & Training,dummyAgentDistributorSupplier.NOB.,Education & TrainingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP210,Engineering,dummyAgentDistributorSupplier.NOB.,EngineeringdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP213,Façade Engineering,dummyAgentDistributorSupplier.NOB.,Façade EngineeringdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP214,Facilities Management,dummyAgentDistributorSupplier.NOB.,Facilities ManagementdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP218,Government/Municipality,dummyAgentDistributorSupplier.NOB.,Government/MunicipalitydummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP219,Interior Design Agency - Other,dummyAgentDistributorSupplier.NOB.,Interior Design Agency - OtherdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP223,IT & Software,dummyAgentDistributorSupplier.NOB.,IT & SoftwaredummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP224,Landscaping,dummyAgentDistributorSupplier.NOB.,LandscapingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP227,Manufacturer,dummyAgentDistributorSupplier.NOB.,ManufacturerdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP236,MEP Contractor,dummyAgentDistributorSupplier.NOB.,MEP ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP238,Property Developer,dummyAgentDistributorSupplier.NOB.,Property DeveloperdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP241,Repair Contractor,dummyAgentDistributorSupplier.NOB.,Repair ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP245,Sub-Contractor,dummyAgentDistributorSupplier.NOB.,Sub-ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP246,Surveying,dummyAgentDistributorSupplier.NOB.,SurveyingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP248,Trade Association,dummyAgentDistributorSupplier.NOB.,Trade AssociationdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP249,Transport & Supply chain,dummyAgentDistributorSupplier.NOB.,Transport & Supply chaindummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP250,Waste & Recycling,dummyAgentDistributorSupplier.NOB.,Waste & RecyclingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business ? - MEC,MP299,Others,dummyAgentDistributorSupplier.NOB.,OthersdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF201,dummyvar,,dummyvar,Demographic
What is your nature of business? - Big5,BF202,Architectural Firm,dummyAgentDistributorSupplier.NOB.,Architectural FirmdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF204,Building Consultancy,dummyAgentDistributorSupplier.NOB.,Building ConsultancydummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF205,Cement Supplier,dummyAgentDistributorSupplier.NOB.,Cement SupplierdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF206,Commercial Services,dummyAgentDistributorSupplier.NOB.,Commercial ServicesdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF208,Contractor,dummyAgentDistributorSupplier.NOB.,ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF209,Education & Training,dummyAgentDistributorSupplier.NOB.,Education & TrainingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF210,Engineering,dummyAgentDistributorSupplier.NOB.,EngineeringdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF213,Façade Engineering,dummyAgentDistributorSupplier.NOB.,Façade EngineeringdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF214,Facilities Management,dummyAgentDistributorSupplier.NOB.,Facilities ManagementdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF218,Government/Municipality,dummyAgentDistributorSupplier.NOB.,Government/MunicipalitydummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF252,Interior Design Agency,dummyAgentDistributorSupplier.NOB.,Interior Design AgencydummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF219,Interior Design Agency - Other,dummyAgentDistributorSupplier.NOB.,Interior Design Agency - OtherdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF223,IT & Software,dummyAgentDistributorSupplier.NOB.,IT & SoftwaredummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF224,Landscaping,dummyAgentDistributorSupplier.NOB.,LandscapingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF227,Manufacturer,dummyAgentDistributorSupplier.NOB.,ManufacturerdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF236,MEP Contractor,dummyAgentDistributorSupplier.NOB.,MEP ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF238,Property Developer,dummyAgentDistributorSupplier.NOB.,Property DeveloperdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF241,Repair Contractor,dummyAgentDistributorSupplier.NOB.,Repair ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF245,Sub-Contractor,dummyAgentDistributorSupplier.NOB.,Sub-ContractordummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF246,Surveying,dummyAgentDistributorSupplier.NOB.,SurveyingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF248,Trade Association,dummyAgentDistributorSupplier.NOB.,Trade AssociationdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF249,Transport & Supply chain,dummyAgentDistributorSupplier.NOB.,Transport & Supply chaindummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF250,Waste & Recycling,dummyAgentDistributorSupplier.NOB.,Waste & RecyclingdummyAgentDistributorSupplier.NOB.,Demographic
What is your nature of business? - Big5,BF299,Others,dummyAgentDistributorSupplier.NOB.,OthersdummyAgentDistributorSupplier.NOB.,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF311,dummyvar,,dummyvar,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF312,dummyvar,,dummyvar,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP311,dummyvar,,dummyvar,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP312,dummyvar,,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP411,dummyvar,,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP412,dummyvar,,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP413,dummyvar,,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP414,dummyvar,,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP419,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP611,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP612,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP613,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP614,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP615,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP616,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP617,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP618,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP619,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP620,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP621,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP622,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP623,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP624,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP625,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP626,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP627,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP628,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP629,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP630,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP631,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP632,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP633,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP634,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP635,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP636,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP637,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP638,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP639,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP640,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP641,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP642,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP643,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP644,dummyvar,,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP645,dummyvar,,dummyvar,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP01,"Accessories, Wear Parts & Components",dummyOther.MECproductslookingFor.,"Accessories, Wear Parts & ComponentsdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP02,Aggregates & Aggregate Processing,dummyOther.MECproductslookingFor.,Aggregates & Aggregate ProcessingdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP03,Batching Equipment,dummyOther.MECproductslookingFor.,Batching EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP04,"Block, Paver & Tile Production Equipment",dummyOther.MECproductslookingFor.,"Block, Paver & Tile Production EquipmentdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP05,Cement & Cementitious Products,dummyOther.MECproductslookingFor.,Cement & Cementitious ProductsdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP06,Construction Chemicals & Admixtures,dummyOther.MECproductslookingFor.,Construction Chemicals & AdmixturesdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP07,Construction & Commercial Vehicles,dummyOther.MECproductslookingFor.,Construction & Commercial VehiclesdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP08,Construction Machinery,dummyOther.MECproductslookingFor.,Construction MachinerydummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP09,Cranes & Access Equipment,dummyOther.MECproductslookingFor.,Cranes & Access EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP10,"Crushing, Screening and Recycling Equipment",dummyOther.MECproductslookingFor.,"Crushing, Screening and Recycling EquipmentdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP11,"Cutting, Sawing & Coring Equipment",dummyOther.MECproductslookingFor.,"Cutting, Sawing & Coring EquipmentdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP12,Decorative Concrete,dummyOther.MECproductslookingFor.,Decorative ConcretedummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP13,Earthmoving Equipment,dummyOther.MECproductslookingFor.,Earthmoving EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP14,"Exterior Improvements, Repair & Retrofitting",dummyOther.MECproductslookingFor.,"Exterior Improvements, Repair & RetrofittingdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP15,Finishing Tools & Equipment,dummyOther.MECproductslookingFor.,Finishing Tools & EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP16,"Formwork, Formwork Accessories & Scaffolding",dummyOther.MECproductslookingFor.,"Formwork, Formwork Accessories & ScaffoldingdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP17,Lifting Appliances & Conveying Systems,dummyOther.MECproductslookingFor.,Lifting Appliances & Conveying SystemsdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP18,Material Processing & Handling,dummyOther.MECproductslookingFor.,Material Processing & HandlingdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP19,Piling & Drilling Equipment,dummyOther.MECproductslookingFor.,Piling & Drilling EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP20,Placing Equipment,dummyOther.MECproductslookingFor.,Placing EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP21,Power Generation,dummyOther.MECproductslookingFor.,Power GenerationdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP22,Precast Production & Equipment,dummyOther.MECproductslookingFor.,Precast Production & EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP23,Pumping Equipment & Accessories,dummyOther.MECproductslookingFor.,Pumping Equipment & AccessoriesdummyOther.MECproductslookingFor.,Demographic
Conference Vetting Codes,VET,Conference Registration,,Conference Registration,Not Used
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP24,Raw Materials Extraction Equipment,dummyOther.MECproductslookingFor.,Raw Materials Extraction EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP25,Ready Mixed Concrete,dummyOther.MECproductslookingFor.,Ready Mixed ConcretedummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP26,Rebar & Rebar Processing,dummyOther.MECproductslookingFor.,Rebar & Rebar ProcessingdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP27,"Site Clearing, Demolition & Relocation",dummyOther.MECproductslookingFor.,"Site Clearing, Demolition & RelocationdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP28,Site Installation Equipment,dummyOther.MECproductslookingFor.,Site Installation EquipmentdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP29,Surface Preparation,dummyOther.MECproductslookingFor.,Surface PreparationdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP30,"Transmission Engineering, Fluid Technology & Filtration",dummyOther.MECproductslookingFor.,"Transmission Engineering, Fluid Technology & FiltrationdummyOther.MECproductslookingFor.",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP31,Truck Mixers,dummyOther.MECproductslookingFor.,Truck MixersdummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP32,Steel Fabrication Machinery – (Metal / Steel / Aluminum),dummyOther.MECproductslookingFor.,Steel Fabrication Machinery – (Metal / Steel / Aluminum)dummyOther.MECproductslookingFor.,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP39,dummyvar,,dummyvar,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP33,Lubricants (onsite form),dummyOther.MECproductslookingFor.,Lubricants (onsite form)dummyOther.MECproductslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF01,MEP Services,dummyOther.BIG5productslookingFor.,MEP ServicesdummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF06,dummyvar,,dummyvar,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF02,Building Interiors & Finishes,dummyOther.BIG5productslookingFor.,Building Interiors & FinishesdummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF03,Building Envelope & Special Construction,dummyOther.BIG5productslookingFor.,Building Envelope & Special ConstructiondummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF04,Construction Tools & Building Materials,dummyOther.BIG5productslookingFor.,Construction Tools & Building MaterialsdummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF05,Smart Building & Design Technologies,dummyOther.BIG5productslookingFor.,Smart Building & Design TechnologiesdummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03A,"Windows, Doors & Sun Protection Systems",dummyOther.BIG5productslookingFor.,"Windows, Doors & Sun Protection SystemsdummyOther.BIG5productslookingFor.",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03B,"Roofing, Cladding & Glazing",dummyOther.BIG5productslookingFor.,"Roofing, Cladding & GlazingdummyOther.BIG5productslookingFor.",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03C,Special Construction,dummyOther.BIG5productslookingFor.,Special ConstructiondummyOther.BIG5productslookingFor.,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02A,"Bathroom, Kitchen & Related Services",dummyOther.BIG5productslookingFor.,"Bathroom, Kitchen & Related ServicesdummyOther.BIG5productslookingFor.",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02B,"Flooring, Ceiling, Wall Finishes & Other Interior Finishes",dummyOther.BIG5productslookingFor.,"Flooring, Ceiling, Wall Finishes & Other Interior FinishesdummyOther.BIG5productslookingFor.",Demographic
PrePop Registrations,PPOP3,Registered from Big 5 Dubai 2016 - Telemarketing data - DTCM format,,Registered from Big 5 Dubai 2016 - Telemarketing data - DTCM format,Not Used
PrePop Registrations,PPOP5,Distributors Networking - Distributors,,Distributors Networking - Distributors,Not Used
