Questions,Code,Decode,usage
Nationality,SK,dummyvar,Demographic
Nationality,SI,dummyvar,Demographic
Nationality,SB,dummyvar,Demographic
Nationality,SO,dummyvar,Demographic
Nationality,ZA,dummyvar,Demographic
Nationality,KR,dummyvar,Demographic
Nationality,SS,dummyvar,Demographic
Nationality,ES,dummyvar,Demographic
Nationality,LK,dummyvar,Demographic
Nationality,SD,dummyvar,Demographic
Nationality,SR,dummyvar,Demographic
Nationality,SJ,dummyvar,Demographic
Nationality,SZ,dummyvar,Demographic
Nationality,SE,dummyvar,Demographic
Nationality,CH,dummyvar,Demographic
Nationality,SY,dummyvar,Demographic
Nationality,TW,dummyvar,Demographic
Nationality,TJ,dummyvar,Demographic
Nationality,TZ,dummyvar,Demographic
Nationality,TH,dummyvar,Demographic
Nationality,TL,dummyvar,Demographic
Nationality,TG,dummyvar,Demographic
Nationality,TK,dummyvar,Demographic
Nationality,TO,dummyvar,Demographic
Nationality,TT,dummyvar,Demographic
Nationality,TN,dummyvar,Demographic
Nationality,TR,dummyvar,Demographic
Nationality,TM,dummyvar,Demographic
Nationality,TC,dummyvar,Demographic
Nationality,TV,dummyvar,Demographic
Nationality,VI,dummyvar,Demographic
Nationality,UG,dummyvar,Demographic
Nationality,UA,dummyvar,Demographic
Nationality,UY,dummyvar,Demographic
Nationality,UZ,dummyvar,Demographic
Nationality,VE,dummyvar,Demographic
Nationality,VN,dummyvar,Demographic
Nationality,VC,dummyvar,Demographic
Nationality,VB,dummyvar,Demographic
Nationality,WF,dummyvar,Demographic
Nationality,YE,dummyvar,Demographic
Nationality,ZM,dummyvar,Demographic
Nationality,ZW,dummyvar,Demographic
Nationality,NAT,dummyvar,Demographic
No of Employees - (0-10) - Big5,BF111A,dummyvar,Demographic
No of Employees - (0-10) - Big5,BF111B,dummyvar,Demographic
No of Employees - (0-10) - Big5,BF111C,dummyvar,Demographic
No of Employees - (0-10) - MEC,MP111A,dummyvar,Demographic
No of Employees - (0-10) - MEC,MP111B,dummyvar,Demographic
No of Employees - (0-10) - MEC,MP111C,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112A,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112B,dummyvar,Demographic
No of Employees - (11-50) - Big5,BF112C,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112A,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112B,dummyvar,Demographic
No of Employees - (11-50) - MEC,MP112C,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114A,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114B,dummyvar,Demographic
No of Employees - (251+) - Big5,BF114C,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114A,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114B,dummyvar,Demographic
No of Employees - (251+) - MEC,MP114C,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113A,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113B,dummyvar,Demographic
No of Employees - (51-250) - Big5,BF113C,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113A,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113B,dummyvar,Demographic
No of Employees - (51-250) - MEC,MP113C,dummyvar,Demographic
No of Employees - Big5,BF111,dummyvar,Demographic
No of Employees - Big5,BF112,dummy0to10.noEmploy11to50,Demographic
No of Employees - Big5,BF113,dummy0to10.noEmploy51to250,Demographic
No of Employees - Big5,BF114,dummy0to10.noEmploy251plus,Demographic
No of Employees - MEC,MP111,dummyvar,Demographic
No of Employees - MEC,MP112,dummy0to10.noEmploy11to50,Demographic
No of Employees - MEC,MP113,dummy0to10.noEmploy51to250,Demographic
No of Employees - MEC,MP114,dummy0to10.noEmploy251plus,Demographic
Other - Big5 (Onsite Form),BF642,dummyvar,Demographic
Other - Big5 (Onsite Form),BF643,dummyvar,Demographic
Other - Big5 (Onsite Form),BF644,dummyvar,Demographic
Other - Big5 (Onsite Form),BF645,dummyvar,Demographic
Payment Details,PAMNT,dummyvar,Demographic
Payment Details,PDATE,dummyvar,Demographic
Payment Details,PDETAILS,dummyvar,Demographic
Payment Details,ONS,dummyvar,Demographic
Payment Details,PNOTE,dummyvar,Demographic
Payment for Speed Networking Event,PBLOCK,dummyvar,Demographic
Payment for Speed Networking Event,PAMNT,dummyvar,Demographic
Payment for Speed Networking Event,VI,dummyvar,Demographic
Payment for Speed Networking Event,MC,dummyvar,Demographic
Payment for Speed Networking Event,AMEX,dummyvar,Demographic
Payment for Speed Networking Event,PADATE,dummyvar,Demographic
Payment for Speed Networking Event,JCB,dummyvar,Demographic
Payment Mode,VI,dummycreditcard.paymentmode.PaymentMode.visa,Demographic
Payment Mode,MC,dummycreditcard.paymentmode.PaymentMode.mastercard,Demographic
Payment Mode,AMEX,dummycreditcard.paymentmode.PaymentMode.amex,Demographic
Payment Mode,CASH,dummycreditcard.paymentmode.PaymentMode.Cash,Demographic
Payment Mode,CC,dummyvar,Demographic
Payment Status,PAID,dummyNotPaid.PaymentStatus.PaymentStatus.Received,Demographic
Payment Status,NPAID,dummyvar,Demographic
Payment Status,FOC,dummyNotPaid.PaymentStatus.PaymentStatus.FOC,Demographic
Recommend a Colleague,INV,dummyvar,Demographic
Recommend a Colleague,INVE,dummyInvitor.recommendColleague.recommend.Invitee,Demographic
Recommend a Colleague,IFCN,dummyInvitor.recommendColleague.recommedn.RegisteredInvitee,Demographic
Show Admission Policy/Terms of Condition,TNC,dummyvar,Demographic
Show Registered For,BIG,dummyMEC.showRegistered.Big5showRegistered.Big5,Demographic
Show Registered For,MEC,dummyvar,Demographic
Speed Networking Vetting Codes,DIS,dummyvar,Demographic
Speed Networking Vetting Codes,DISR,dummyvar,Demographic
Speed Networking Vetting Codes,DISA,dummyvar,Demographic
UTM Codes,UTM_SOURCE,dummyvar,Demographic
UTM Codes,UTM_MEDIUM,dummyvar,Demographic
UTM Codes,UTM_CAMPAIGN,dummyvar,Demographic
UTM Codes,UTM_CONTENT,dummyvar,Demographic
UTM Codes,UTM_TERM,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP511,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP512,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP513,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP514,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP515,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP516,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP517,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP518,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP519,dummyvar,Demographic
What area of media do you work in? - MEC (MED Onsite Form),MP520,dummyvar,Demographic
What is your current employment status? - Big5,BFEMP,EmployedEmployed,Demographic
What is your current employment status? - Big5,BFUNE,dummyvar,Demographic
What is your current employment status? - Big5,BFSTU,StudentStudent,Demographic
What is your current employment status? - MEC,MPEMP,EmployedEmployed,Demographic
What is your current employment status? - MEC,MPUNE,dummyvar,Demographic
What is your current employment status? - MEC,MPSTU,StudentStudent,Demographic
What is your nature of business ? - MEC,MP201,dummyvar,Demographic
What is your nature of business ? - MEC,MP202,dummyAgentDistributorSupplier.NOB.Architectural Firm,Demographic
What is your nature of business ? - MEC,MP204,dummyAgentDistributorSupplier.NOB.Building Consultancy,Demographic
What is your nature of business ? - MEC,MP205,dummyAgentDistributorSupplier.NOB.Cement Supplier,Demographic
What is your nature of business ? - MEC,MP206,dummyAgentDistributorSupplier.NOB.Commercial Services,Demographic
What is your nature of business ? - MEC,MP208,dummyAgentDistributorSupplier.NOB.Contractor,Demographic
What is your nature of business ? - MEC,MP209,dummyAgentDistributorSupplier.NOB.Education & Training,Demographic
What is your nature of business ? - MEC,MP210,dummyAgentDistributorSupplier.NOB.Engineering,Demographic
What is your nature of business ? - MEC,MP213,dummyAgentDistributorSupplier.NOB.Façade Engineering,Demographic
What is your nature of business ? - MEC,MP214,dummyAgentDistributorSupplier.NOB.Facilities Management,Demographic
What is your nature of business ? - MEC,MP218,dummyAgentDistributorSupplier.NOB.Government/Municipality,Demographic
What is your nature of business ? - MEC,MP219,dummyAgentDistributorSupplier.NOB.Interior Design Agency - Other,Demographic
What is your nature of business ? - MEC,MP223,dummyAgentDistributorSupplier.NOB.IT & Software,Demographic
What is your nature of business ? - MEC,MP224,dummyAgentDistributorSupplier.NOB.Landscaping,Demographic
What is your nature of business ? - MEC,MP227,dummyAgentDistributorSupplier.NOB.Manufacturer,Demographic
What is your nature of business ? - MEC,MP236,dummyAgentDistributorSupplier.NOB.MEP Contractor,Demographic
What is your nature of business ? - MEC,MP238,dummyAgentDistributorSupplier.NOB.Property Developer,Demographic
What is your nature of business ? - MEC,MP241,dummyAgentDistributorSupplier.NOB.Repair Contractor,Demographic
What is your nature of business ? - MEC,MP245,dummyAgentDistributorSupplier.NOB.Sub-Contractor,Demographic
What is your nature of business ? - MEC,MP246,dummyAgentDistributorSupplier.NOB.Surveying,Demographic
What is your nature of business ? - MEC,MP248,dummyAgentDistributorSupplier.NOB.Trade Association,Demographic
What is your nature of business ? - MEC,MP249,dummyAgentDistributorSupplier.NOB.Transport & Supply chain,Demographic
What is your nature of business ? - MEC,MP250,dummyAgentDistributorSupplier.NOB.Waste & Recycling,Demographic
What is your nature of business ? - MEC,MP299,dummyAgentDistributorSupplier.NOB.Others,Demographic
What is your nature of business? - Big5,BF201,dummyvar,Demographic
What is your nature of business? - Big5,BF202,dummyAgentDistributorSupplier.NOB.Architectural Firm,Demographic
What is your nature of business? - Big5,BF204,dummyAgentDistributorSupplier.NOB.Building Consultancy,Demographic
What is your nature of business? - Big5,BF205,dummyAgentDistributorSupplier.NOB.Cement Supplier,Demographic
What is your nature of business? - Big5,BF206,dummyAgentDistributorSupplier.NOB.Commercial Services,Demographic
What is your nature of business? - Big5,BF208,dummyAgentDistributorSupplier.NOB.Contractor,Demographic
What is your nature of business? - Big5,BF209,dummyAgentDistributorSupplier.NOB.Education & Training,Demographic
What is your nature of business? - Big5,BF210,dummyAgentDistributorSupplier.NOB.Engineering,Demographic
What is your nature of business? - Big5,BF213,dummyAgentDistributorSupplier.NOB.Façade Engineering,Demographic
What is your nature of business? - Big5,BF214,dummyAgentDistributorSupplier.NOB.Facilities Management,Demographic
What is your nature of business? - Big5,BF218,dummyAgentDistributorSupplier.NOB.Government/Municipality,Demographic
What is your nature of business? - Big5,BF252,dummyAgentDistributorSupplier.NOB.Interior Design Agency,Demographic
What is your nature of business? - Big5,BF219,dummyAgentDistributorSupplier.NOB.Interior Design Agency - Other,Demographic
What is your nature of business? - Big5,BF223,dummyAgentDistributorSupplier.NOB.IT & Software,Demographic
What is your nature of business? - Big5,BF224,dummyAgentDistributorSupplier.NOB.Landscaping,Demographic
What is your nature of business? - Big5,BF227,dummyAgentDistributorSupplier.NOB.Manufacturer,Demographic
What is your nature of business? - Big5,BF236,dummyAgentDistributorSupplier.NOB.MEP Contractor,Demographic
What is your nature of business? - Big5,BF238,dummyAgentDistributorSupplier.NOB.Property Developer,Demographic
What is your nature of business? - Big5,BF241,dummyAgentDistributorSupplier.NOB.Repair Contractor,Demographic
What is your nature of business? - Big5,BF245,dummyAgentDistributorSupplier.NOB.Sub-Contractor,Demographic
What is your nature of business? - Big5,BF246,dummyAgentDistributorSupplier.NOB.Surveying,Demographic
What is your nature of business? - Big5,BF248,dummyAgentDistributorSupplier.NOB.Trade Association,Demographic
What is your nature of business? - Big5,BF249,dummyAgentDistributorSupplier.NOB.Transport & Supply chain,Demographic
What is your nature of business? - Big5,BF250,dummyAgentDistributorSupplier.NOB.Waste & Recycling,Demographic
What is your nature of business? - Big5,BF299,dummyAgentDistributorSupplier.NOB.Others,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF311,dummyvar,Demographic
What is your publication/programme name? - Big5 (Media Onsite Form),BF312,dummyvar,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP311,dummyvar,Demographic
What is your publication/programme name? - MEC (MED Onsite Form),MP312,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP411,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP412,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP413,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP414,dummyvar,Demographic
What region do you operate in? - MEC (MED Onsite Form),MP419,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP611,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP612,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP613,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP614,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP615,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP616,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP617,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP618,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP619,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP620,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP621,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP622,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP623,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP624,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP625,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP626,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP627,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP628,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP629,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP630,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP631,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP632,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP633,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP634,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP635,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP636,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP637,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP638,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP639,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP640,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP641,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP642,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP643,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP644,dummyvar,Demographic
What topic areas do you cover? - MEC (MED Onsite Form),MP645,dummyvar,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP01,"dummyOther.MECproductslookingFor.Accessories, Wear Parts & Components",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP02,dummyOther.MECproductslookingFor.Aggregates & Aggregate Processing,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP03,dummyOther.MECproductslookingFor.Batching Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP04,"dummyOther.MECproductslookingFor.Block, Paver & Tile Production Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP05,dummyOther.MECproductslookingFor.Cement & Cementitious Products,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP06,dummyOther.MECproductslookingFor.Construction Chemicals & Admixtures,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP07,dummyOther.MECproductslookingFor.Construction & Commercial Vehicles,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP08,dummyOther.MECproductslookingFor.Construction Machinery,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP09,dummyOther.MECproductslookingFor.Cranes & Access Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP10,"dummyOther.MECproductslookingFor.Crushing, Screening and Recycling Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP11,"dummyOther.MECproductslookingFor.Cutting, Sawing & Coring Equipment",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP12,dummyOther.MECproductslookingFor.Decorative Concrete,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP13,dummyOther.MECproductslookingFor.Earthmoving Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP14,"dummyOther.MECproductslookingFor.Exterior Improvements, Repair & Retrofitting",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP15,dummyOther.MECproductslookingFor.Finishing Tools & Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP16,"dummyOther.MECproductslookingFor.Formwork, Formwork Accessories & Scaffolding",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP17,dummyOther.MECproductslookingFor.Lifting Appliances & Conveying Systems,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP18,dummyOther.MECproductslookingFor.Material Processing & Handling,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP19,dummyOther.MECproductslookingFor.Piling & Drilling Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP20,dummyOther.MECproductslookingFor.Placing Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP21,dummyOther.MECproductslookingFor.Power Generation,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP22,dummyOther.MECproductslookingFor.Precast Production & Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP23,dummyOther.MECproductslookingFor.Pumping Equipment & Accessories,Demographic
Conference Vetting Codes,VET,Conference Registration,Not Used
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP24,dummyOther.MECproductslookingFor.Raw Materials Extraction Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP25,dummyOther.MECproductslookingFor.Ready Mixed Concrete,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP26,dummyOther.MECproductslookingFor.Rebar & Rebar Processing,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP27,"dummyOther.MECproductslookingFor.Site Clearing, Demolition & Relocation",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP28,dummyOther.MECproductslookingFor.Site Installation Equipment,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP29,dummyOther.MECproductslookingFor.Surface Preparation,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP30,"dummyOther.MECproductslookingFor.Transmission Engineering, Fluid Technology & Filtration",Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP31,dummyOther.MECproductslookingFor.Truck Mixers,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP32,dummyOther.MECproductslookingFor.Steel Fabrication Machinery – (Metal / Steel / Aluminum),Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP39,dummyvar,Demographic
"While visiting Middle East Concrete and PMV Live, what products will you be mainly looking for?	",MP33,dummyOther.MECproductslookingFor.Lubricants (onsite form),Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF01,dummyOther.BIG5productslookingFor.MEP Services,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF06,dummyvar,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF02,dummyOther.BIG5productslookingFor.Building Interiors & Finishes,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF03,dummyOther.BIG5productslookingFor.Building Envelope & Special Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF04,dummyOther.BIG5productslookingFor.Construction Tools & Building Materials,Demographic
"While visiting The Big 5, what products will you be mainly looking for?",BF05,dummyOther.BIG5productslookingFor.Smart Building & Design Technologies,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03A,"dummyOther.BIG5productslookingFor.Windows, Doors & Sun Protection Systems",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03B,"dummyOther.BIG5productslookingFor.Roofing, Cladding & Glazing",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Envelope & Special Construction ",BF03C,dummyOther.BIG5productslookingFor.Special Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02A,"dummyOther.BIG5productslookingFor.Bathroom, Kitchen & Related Services",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02B,"dummyOther.BIG5productslookingFor.Flooring, Ceiling, Wall Finishes & Other Interior Finishes",Demographic
PrePop Registrations,PPOP3,Registered from Big 5 Dubai 2016 - Telemarketing data - DTCM format,Not Used
PrePop Registrations,PPOP5,Distributors Networking - Distributors,Not Used
PrePop Registrations,PPOP6,Distributors Networking - Exhibitors,Not Used
PrePop Registrations,PPOP9,Pre-pop Registration for MEC and PMV Live,Not Used
PrePop Registrations,PPOP1,BIG5 Initial Prepop,Not Used
PrePop Registrations,PPOP4,BIG5 Second PPOP,Not Used
DMG 18 Digit Contact,18DCID,18DCID,Not Used
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02C,dummyOther.BIG5productslookingFor.Lighting,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Building Interiors & Finishes
",BF02D,"dummyOther.BIG5productslookingFor.Sealants, Coatings & Adhesives",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04A,dummyOther.BIG5productslookingFor.Construction Tools & Equipment,Demographic
Rejection Code - from Email Template,REJ,Excellence in Construction Summit Rejected,Not Used
Rejection Code - from Email Template,PCR,Platinum Card Rejected,Not Used
"While visiting The Big 5, what products will you be mainly looking for? - Construction Tools & Building Materials",BF04B,"dummyOther.BIG5productslookingFor.Metal, Steel & Aluminium",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01A,"dummyOther.BIG5productslookingFor.Heating, Ventilation & Air Conditioning
",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01B,dummyOther.BIG5productslookingFor.Plumbing & Water Technology,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01C,"dummyOther.BIG5productslookingFor.Electrical Systems
",Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01D,dummyOther.BIG5productslookingFor.Security & Fire Protection,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - MEP Services",BF01E,dummyOther.BIG5productslookingFor.Solar Energy,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05A,dummyOther.BIG5productslookingFor.Software for Construction,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05B,dummyOther.BIG5productslookingFor.Design Technologies,Demographic
"While visiting The Big 5, what products will you be mainly looking for? - Smart Building & Design Technologies",BF05C,dummyOther.BIG5productslookingFor.Building Automation,Demographic
Workshop and other Category,WKS,dummyvar,Demographic
Workshop and other Category,MWKS,dummyvar,Demographic
Workshop and other Category,HTDB,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A1,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A2,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1A3,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B1,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B2,dummyvar,Demographic
Uploads,UPL1,BIG5: VIP DATA BIG 5 2016,Not Used
Uploads,UPL2,BIG5 Exhibitor Badges for printing - Agent,Not Used
Uploads,UPL3,BIG5 Exhibitor Badges for printing - dmg,Not Used
Uploads,UPL4,MEC_PMV Badges for printing - Agents,Not Used
Uploads,UPL5,MEC_PMV Badges for printing - DMG,Not Used
Uploads,UPL6,Big5 Exhibitor badges batch 2 - Agent,Not Used
Uploads,UPL7,Big5 Exhibitor badges batch 2 - DMG,Not Used
Uploads,UPL8,MEC_PMV Badges for printing - Agents BATCH2,Not Used
Uploads,UPL9,MEC_PMV Badges for printing - DMG BATCH2,Not Used
Uploads,UPL10,"BIG5: VIP data - Disha
",Not Used
Uploads,UPL11,"BIG 5 Speaker Badges Rubina/Sabah
",Not Used
Uploads,UPL12,"Big 5 PC Badges – Rubina/Sabah
",Not Used
Uploads,UPL13,"BIG5: Cool Box  - Vicky
",Not Used
Uploads,UPL14,"BIG5: EMI Data - Vicky
",Not Used
Uploads,UPL15,"BIG5: Al Fanar data – Vicky/Hussein
",Not Used
Uploads,UPL16,"BIG5: Canadian Delegation
",Not Used
Uploads,UPL17,"BIG5: Focus Group attendees - Disha
",Not Used
Uploads,UPL18,"BIG5: Visitor data 
",Not Used
Uploads,UPL19,"BIG5: Hira Walraven AC Industry L.L.C
",Not Used
Uploads,UPL20,"BIG 5 : Italian Trade Commision
",Not Used
Uploads,UPL21,Generic VIP Upload,Not Used
Uploads,OUPL1,BIG 5 : Additional Exhibitor List From Marie - Al Rajhi File,Not Used
Uploads,UPL22,BIG 5: Sumayyah Media List,Not Used
Uploads,UPL23,BIG 5: Exhibitors Tele Delivery,Not Used
Uploads,OUPL2,BIG5: Generic Visitor Badges,Not Used
Uploads,MECUPLONS1,MEC: Request from Gabi. SPK EXH VIP VIS upload Onsite,Not Used
Uploads,OUPL3,BIG5: Copie de Data from Khadija,Not Used
Uploads,OUPL4,BIG5 : Make in India - EXH,Not Used
Uploads,OUPL5,BIG5 : Canadian Delegates 2,Not Used
Uploads,OUPL6,MEC : PC Sobha List by Kate ,Not Used
Uploads,OUPL7,BIG: JAFZA Exhibitor,Not Used
Uploads,OUPL8,BIG: DWTC Organizer,Not Used
Uploads,OUPL9,BIG5 : JRD VIP List,Not Used
Uploads,OUPL10,BIG5 : DMG Runners Staff List (Vibes),Not Used
Uploads,OUPL11,BIG5 : Archie Survey Staff List,Not Used
Uploads,OUPL12,BIG5 : Press List Summayah,Not Used
Uploads,OUPL13,BIG: Organizers Badge from Vicky DWTC,Not Used
Uploads,OUPL14,BIG: Salma Additional Visitor,Not Used
Subscribe to - MEC (Onsite),MP301,The Big 5 Hub industry newsletter,Not Used
Subscribe to - MEC (Onsite),MP302,The Big 5 Hub quarterly magazine,Not Used
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1B3,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C1,dummyvar,Demographic
Workshop: Theater 1 - TECHNOLOGY IN CONSTRUCTION,T1C2,dummyvar,Demographic
